File Name,Elements,Atom Counts,Element Count,Total Atom Count
mp-10000.cif,"Hf, S",Hf:4.0; S:2.0,2,6.0
mp-10003.cif,"Nb, Co, Si",Nb:8.0; Co:2.0; Si:2.0,3,12.0
mp-10010.cif,"Al, Co, Si",Al:1.0; Co:2.0; Si:2.0,3,5.0
mp-1001011.cif,"Ta, O",Ta:8.0; O:24.0,2,32.0
mp-1001023.cif,"Be, C",Be:2.0; C:4.0,2,6.0
mp-10015.cif,"Si, Os",Si:1.0; Os:1.0,2,2.0
mp-1001833.cif,"In, Bi",In:4.0; Bi:4.0,2,8.0
mp-1002124.cif,"Hf, C",Hf:4.0; C:4.0,2,8.0
mp-1002206.cif,"Si, C",Si:4.0; C:4.0,2,8.0
mp-10025.cif,"Si, Ru",Si:4.0; Ru:8.0,2,12.0
mp-10026.cif,"Sc, Te",Sc:2.0; Te:2.0,2,4.0
mp-10037.cif,"Al, Co, C",Al:1.0; Co:3.0; C:1.0,3,5.0
mp-10044.cif,"B, As",B:4.0; As:4.0,2,8.0
mp-10046.cif,"V, As, C",V:4.0; As:2.0; C:2.0,3,8.0
mp-1005.cif,"Fe, P",Fe:4.0; P:4.0,2,8.0
mp-10052.cif,"Ti, As",Ti:2.0; As:2.0,2,4.0
mp-10054.cif,"Zr, As",Zr:4.0; As:4.0,2,8.0
mp-10055.cif,"Co, B, Mo",Co:4.0; B:8.0; Mo:2.0,3,14.0
mp-10059.cif,"Zr, Co, B",Zr:1.0; Co:3.0; B:2.0,3,6.0
mp-1006226.cif,"Zn, Bi",Zn:8.0; Bi:8.0,2,16.0
mp-10063.cif,"Cd, Sn, Sb",Cd:4.0; Sn:4.0; Sb:8.0,3,16.0
mp-1008274.cif,"Co, W",Co:3.0; W:1.0,2,4.0
mp-1008557.cif,"Al, B, N",Al:1.0; B:1.0; N:2.0,3,4.0
mp-1008610.cif,"Au, N",Au:4.0; N:4.0,2,8.0
mp-1008632.cif,"V, C",V:2.0; C:1.0,2,3.0
mp-1008785.cif,"Ru, O",Ru:4.0; O:8.0,2,12.0
mp-1008920.cif,"Mn, Ge",Mn:8.0; Ge:4.0,2,12.0
mp-1008922.cif,"Cu, N",Cu:4.0; N:4.0,2,8.0
mp-1008929.cif,"Fe, N",Fe:4.0; N:4.0,2,8.0
mp-1009083.cif,"Mg, Sn, P",Mg:4.0; Sn:4.0; P:8.0,3,16.0
mp-10092.cif,"K, Cu, Se",K:1.0; Cu:4.0; Se:3.0,3,8.0
mp-1009488.cif,"Ni, N",Ni:4.0; N:4.0,2,8.0
mp-101.cif,Ir,Ir:4.0,1,4.0
mp-10113.cif,"Sc, B, Ir",Sc:1.0; B:1.0; Ir:3.0,3,5.0
mp-1011860.cif,"Na, Co, P, O",Na:8.0; Co:4.0; P:8.0; O:28.0,4,48.0
mp-10125.cif,"Sb, Ir",Sb:2.0; Ir:2.0,2,4.0
mp-1012551.cif,"Ba, Br, Cl",Ba:4.0; Br:4.0; Cl:4.0,3,12.0
mp-10133.cif,"Sc, B, Pb",Sc:3.0; B:1.0; Pb:1.0,3,5.0
mp-10139.cif,"Sc, Sn, B",Sc:3.0; Sn:1.0; B:1.0,3,5.0
mp-10140.cif,"Sc, Tl, B",Sc:3.0; Tl:1.0; B:1.0,3,5.0
mp-10154.cif,"Mn, Sb, Ir",Mn:4.0; Sb:4.0; Ir:4.0,3,12.0
mp-10155.cif,"P, Ir",P:8.0; Ir:4.0,2,12.0
mp-10161.cif,"K, Zn, Sb",K:1.0; Zn:1.0; Sb:1.0,3,3.0
mp-1017.cif,"Zr, O",Zr:6.0; O:2.0,2,8.0
mp-10172.cif,Na,Na:2.0,1,2.0
mp-10173.cif,Li,Li:2.0,1,2.0
mp-10180.cif,"Li, Sb, Pd",Li:8.0; Sb:4.0; Pd:4.0,3,16.0
mp-10181.cif,"Li, Si, Ni",Li:4.0; Si:4.0; Ni:8.0,3,16.0
mp-10182.cif,"Li, Zn, P",Li:4.0; Zn:4.0; P:4.0,3,12.0
mp-10183.cif,"Mg, Sb, Pd",Mg:4.0; Sb:4.0; Pd:4.0,3,12.0
mp-10189.cif,"Li, Ti, Te",Li:1.0; Ti:1.0; Te:2.0,3,4.0
mp-1019.cif,"Y, Ni",Y:8.0; Ni:16.0,2,24.0
mp-10196.cif,"Ta, N",Ta:2.0; N:1.0,2,3.0
mp-10198.cif,"Mn, Pd, N",Mn:3.0; Pd:1.0; N:1.0,3,5.0
mp-102.cif,Co,Co:4.0,1,4.0
mp-1020.cif,"Ta, Rh",Ta:1.0; Rh:3.0,2,4.0
mp-10200.cif,"Zr, Be, Si",Zr:2.0; Be:2.0; Si:2.0,3,6.0
mp-10208.cif,"Ni, Mo, P",Ni:2.0; Mo:2.0; P:4.0,3,8.0
mp-10212.cif,"Sc, Ge",Sc:4.0; Ge:8.0,2,12.0
mp-1022.cif,"K, S",K:8.0; S:4.0,2,12.0
mp-10228.cif,"Nb, Se",Nb:1.0; Se:2.0,2,3.0
mp-10240.cif,"Sc, Ni, P",Sc:4.0; Ni:4.0; P:4.0,3,12.0
mp-10245.cif,"Hf, Cu, Si",Hf:6.0; Cu:8.0; Si:8.0,3,22.0
mp-10259.cif,"Zr, Ni, P",Zr:2.0; Ni:4.0; P:4.0,3,10.0
mp-10264.cif,"Ni, Te",Ni:6.0; Te:6.0,2,12.0
mp-10266.cif,"Zn, Fe, C",Zn:1.0; Fe:3.0; C:1.0,3,5.0
mp-1027.cif,"Hf, Rh",Hf:1.0; Rh:3.0,2,4.0
mp-10270.cif,"Sc, Co, C",Sc:1.0; Co:3.0; C:1.0,3,5.0
mp-10271.cif,"Zn, Co, C",Zn:1.0; Co:3.0; C:1.0,3,5.0
mp-1028.cif,"V, Te",V:6.0; Te:8.0,2,14.0
mp-10281.cif,"Zn, S",Zn:4.0; S:4.0,2,8.0
mp-1029.cif,"Ba, F",Ba:4.0; F:8.0,2,12.0
mp-10293.cif,"Ba, C",Ba:4.0; C:8.0,2,12.0
mp-103.cif,Hf,Hf:2.0,1,2.0
mp-1030.cif,"Sb, Pt",Sb:4.0; Pt:28.0,2,32.0
mp-10300.cif,"Zr, Mo, P",Zr:3.0; Mo:3.0; P:3.0,3,9.0
mp-10311.cif,"Zr, V, Ge",Zr:4.0; V:4.0; Ge:4.0,3,12.0
mp-10322.cif,"Ba, Hf, N",Ba:2.0; Hf:2.0; N:4.0,3,8.0
mp-10374.cif,"Cr, Pt, N",Cr:3.0; Pt:1.0; N:1.0,3,5.0
mp-10379.cif,"Hf, Cu, Ge",Hf:3.0; Cu:4.0; Ge:2.0,3,9.0
mp-1038.cif,"Mg, Cu",Mg:8.0; Cu:16.0,2,24.0
mp-1039.cif,"Mg, Te",Mg:2.0; Te:2.0,2,4.0
mp-10390.cif,"Ta, O",Ta:8.0; O:20.0,2,28.0
mp-10394.cif,"Cr, Co, Ge",Cr:2.0; Co:2.0; Ge:2.0,3,6.0
mp-104.cif,Sb,Sb:6.0,1,6.0
mp-10402.cif,"Ti, Tl, F",Ti:1.0; Tl:2.0; F:6.0,3,9.0
mp-1042.cif,"Hf, Si",Hf:4.0; Si:4.0,2,8.0
mp-10435.cif,"Y, Al, Si",Y:1.0; Al:2.0; Si:2.0,3,5.0
mp-10437.cif,"Ba, Cu, Se",Ba:2.0; Cu:4.0; Se:4.0,3,10.0
mp-10440.cif,"Mg, P, Rh",Mg:1.0; P:4.0; Rh:6.0,3,11.0
mp-10445.cif,"Sc, Fe, Te",Sc:6.0; Fe:1.0; Te:2.0,3,9.0
mp-10446.cif,"Sc, Ni, Te",Sc:6.0; Ni:1.0; Te:2.0,3,9.0
mp-10455.cif,"Y, Ti, Ge",Y:4.0; Ti:4.0; Ge:4.0,3,12.0
mp-10456.cif,"Hf, Si, Pt",Hf:4.0; Si:4.0; Pt:4.0,3,12.0
mp-10457.cif,"Hf, Si, Pd",Hf:4.0; Si:4.0; Pd:4.0,3,12.0
mp-1046.cif,"Nb, Sn",Nb:16.0; Sn:32.0,2,48.0
mp-10463.cif,"Y, Co, B",Y:2.0; Co:8.0; B:2.0,3,12.0
mp-10469.cif,"Nb, Si, Pt",Nb:4.0; Si:4.0; Pt:4.0,3,12.0
mp-1047.cif,"Ca, N",Ca:18.0; N:12.0,2,30.0
mp-10470.cif,"Nb, Si, Rh",Nb:4.0; Si:4.0; Rh:4.0,3,12.0
mp-10521.cif,"Y, Al, Ge",Y:1.0; Al:2.0; Ge:2.0,3,5.0
mp-10527.cif,"Y, Al, Si",Y:4.0; Al:2.0; Si:4.0,3,10.0
mp-10550.cif,"Sr, Mg, N",Sr:1.0; Mg:2.0; N:2.0,3,5.0
mp-1057.cif,"Al, Ni",Al:3.0; Ni:2.0,2,5.0
mp-10597.cif,Ag,Ag:2.0,1,2.0
mp-10598.cif,"Cu, Sn",Cu:2.0; Sn:2.0,2,4.0
mp-10601.cif,"Y, Ga, C",Y:3.0; Ga:1.0; C:1.0,3,5.0
mp-10608.cif,"Y, Sn, C",Y:3.0; Sn:1.0; C:1.0,3,5.0
mp-10615.cif,"Ba, Li, P",Ba:1.0; Li:1.0; P:1.0,3,3.0
mp-10616.cif,"Ba, Li, As",Ba:1.0; Li:1.0; As:1.0,3,3.0
mp-10635.cif,"Sn, Sb",Sn:4.0; Sb:4.0,2,8.0
mp-10669.cif,"Ba, Al, Ge",Ba:6.0; Al:4.0; Ge:4.0,3,14.0
mp-1067.cif,"Li, Al",Li:8.0; Al:8.0,2,16.0
mp-10670.cif,"Ca, Al, Ge",Ca:6.0; Al:4.0; Ge:4.0,3,14.0
mp-10675.cif,"Ti, Al, N",Ti:3.0; Al:1.0; N:1.0,3,5.0
mp-1069.cif,"Hf, Si",Hf:4.0; Si:8.0,2,12.0
mp-10692.cif,"Co, Ge",Co:4.0; Ge:4.0,2,8.0
mp-10694.cif,"Sc, F",Sc:1.0; F:3.0,2,4.0
mp-10695.cif,"Zn, S",Zn:4.0; S:4.0,2,8.0
mp-10700.cif,"Mg, Ni, C",Mg:1.0; Ni:3.0; C:1.0,3,5.0
mp-10706.cif,"Zr, Ru, C",Zr:1.0; Ru:3.0; C:1.0,3,5.0
mp-10711.cif,"V, Si",V:3.0; Si:6.0,2,9.0
mp-10712.cif,"Sc, Rh, C",Sc:1.0; Rh:3.0; C:1.0,3,5.0
mp-10721.cif,"Ti, C",Ti:32.0; C:16.0,2,48.0
mp-1073.cif,"Ca, Cd",Ca:1.0; Cd:1.0,2,2.0
mp-10739.cif,"Ti, P, Ru",Ti:3.0; P:3.0; Ru:3.0,3,9.0
mp-10744.cif,"Si, Pt",Si:6.0; Pt:4.0,2,10.0
mp-10746.cif,"Mg, Cu, Si",Mg:4.0; Cu:6.0; Si:2.0,3,12.0
mp-10748.cif,"Ta, Cu, S",Ta:1.0; Cu:3.0; S:4.0,3,8.0
mp-10749.cif,"Sr, Cu, Sb",Sr:2.0; Cu:2.0; Sb:2.0,3,6.0
mp-10755.cif,"Ti, Fe, Sb",Ti:4.0; Fe:4.0; Sb:4.0,3,12.0
